SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
RJ,DUQUE DE CAXIAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
BA,FEIRA DE SANTANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SE,ITABAIANINHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,CARUARU,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,PALMEIRA DOS ÍNDIOS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,COROATÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,JUAZEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,ALHANDRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,COARI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
PB,SÃO JOSÉ DO SABUGI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,ELDORADO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,PIRIPIRI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PE,GARANHUNS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,SANTA MARIA DA VITÓRIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
ES,VILA PAVÃO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,ÁGUAS LINDAS DE GOIÁS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,ITABAIANINHA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,BETIM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
AL,MACEIÓ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
SC,PASSOS MAIA,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,DESISTENTE
RS,SAPUCAIA DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,BAMBUÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,PAULISTA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,FEIRA DE SANTANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,AÇAILÂNDIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,NOVA PALMEIRA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,ITAQUAQUECETUBA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MT,PRIMAVERA DO LESTE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,FERNANDES PINHEIRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
ES,VITÓRIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,RAFAEL GODEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,CATALÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
GO,PILAR DE GOIÁS,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
RN,CEARÁ MIRIM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
CE,SECRETARIA DE EDUCAÇÃO TIANGUÁ - CE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,CAXAMBU DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
BA,CÂNDIDO SALES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RJ,DUQUE DE CAXIAS,MUNICIPAL,DIRETOR(A),DOUTORADO,MATRICULADO
PI,PAVUSSU PI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,ROLÂNDIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,PALMAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AC,RIO BRANCO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,PARAGOMINAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,BALNEÁRIO CAMBORIÚ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,PATO BRANCO,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
TO,ARAGUAÍNA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,CRICIÚMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,RIO GRANDE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,RIO PARANAÍBA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,CASCAVEL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,ARAPIRACA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
RS,ARROIO DO TIGRE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
CE,SOBRAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
ES,NOVA VENÉCIA,ESTADUAL,DIRETOR(A),MESTRADO,DESISTENTE
MG,SERRA DO SALITRE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,CAJAZEIRAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
TO,GUARAÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,NOVA MUTUM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,APUCARANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,URUÇUCA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,CIDADE OCIDENTAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,PELOTAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,MAUÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,CABEDELO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RJ,RIO DE JANEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,EUSÉBIO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,LUZILÂNDIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,BALNEÁRIO CAMBORIÚ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,CHAPECÓ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MA,CAXIAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,SÃO GABRIEL DA CACHOEIRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AL,CORURIPE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
TO,ARAGUAÍNA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,RIBEIRÃO DAS NEVES,ESTADUAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,PORTO SEGURO,MUNICIPAL,DIRETOR(A),DOUTORADO,DESISTENTE
PB,QUEIMADAS-PB,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,PINDORETAMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,SANTA CRUZ DO SUL,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
ES,VILA VELHA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,DOM FELICIANO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,CATOLÉ DO ROCHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
TO,PARAÍSO DO TOCANTINS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,CAÇADOR,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RR,BOA VISTA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,JARDIM DE ANGICOS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RJ,CAMPOS DOS GOYTACAZES,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,AÇU,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
PI,COCAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
RN,ASSU/RN,MUNICIPAL,DIRETOR(A),DOUTORADO,MATRICULADO
MA,CAXIAS/MA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,PAULISTANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,TAQUARITINGA S.P.,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,ÁGUAS LINDAS DE GOIÁS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,CHORÓ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,SÃO GABRIEL DA CACHOEIRA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,ESPERANTINA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,IGARASSU,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,GOIANINHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,BALSAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PA,TUCURUÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,ALTO SANTO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,PEDREGULHO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,BARCARENA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
PR,FERNANDES PINHEIRO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,MARAIAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
PB,QUEIMADAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,DELMIRO GOUVEIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,ITAQUAQUECETUBA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,PRATA DO PIAUI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,TIMBÉ DO SUL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,VÁRZEA GRANDE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,ITACARAMBI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
PB,SAPÉ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,BLUMENAU,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SP,DIADEMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,BAMBUÍ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,MAUÉS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PI,CAMPO MAIOR,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,NAVEGANTES,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
SP,BARUERI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
BA,BOA VISTA DO TUPIM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
CE,SOBRAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,MOGI DAS CRUZES,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,NOVA PALMEIRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PA,ITAITUBA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,SETE LAGOAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,INAJÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,NOVA SERRANA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,MOSTARDAS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE PEDREGULHO-SP,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,IPANEMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,ARATUBA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,JARAGUÁ DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,CAPITÓLIO-MG,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MT,NOVA MUTUM,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
GO,VALPARAÍSO DE GOIÁS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
TO,PORTO NACIONAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
ES,GUARAPARI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,ANCHIETA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
PI,LUZILÂNDIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,APUCARANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,SANTA MARIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,SANTA CRUZ DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,DOUTORADO,MATRICULADO
BA,BARREIRAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,457,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AP,LARANJAL DO JARI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
SP,TAQUARITINGA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,PATO BRANCO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
CE,QUIXADÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,MORUNGABA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
BA,ALAGOINHAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,SAPÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RS,SAPUCAIA DO SUL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,TANGARÁ DA SERRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,LAGO DA PEDRA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
AC,FEIJÓ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,BOM JESUS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
MA,SANTA LUZIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,GURUPI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RO,VILHENA RO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RO,CACOAL - SECRETARIA DE EDUCAÇÃO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RN,NATAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AC,FEIJÓ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SE,SÃO CRISTÓVÃO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,SÃO BERNARDO DO CAMPO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
RS,SANTA CRUZ DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MT,VÁRZEA GRANDE,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,MONTES CLAROS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,SETE LAGOAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PA,CASTANHAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MA,SÃO LUÍS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,ROLANDIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SE,TOBIAS BARRETO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,DESISTENTE
MG,VARGINHA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,SÃO MIGUEL DOS MILAGRES,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,LAGO DA PEDRA,MUNICIPAL,DIRETOR(A),MESTRADO,DESISTENTE
GO,JATAÍ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MA,SÃO LUÍS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
RR,BOA VISTA,ESTADUAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MS,CORUMBÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
MG,VARGINHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AL,DELMIRO GOUVEIA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
MG,BETIM,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,MARAIAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PI,PAULISTANA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,ITACARAMBI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
RO,GUAJARÁ-MIRIM,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
SP,DIADEMA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,CAIRU,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MT,SINOP,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,PORTO NACIONAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
PE,CARUARU,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,GURUPI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,JEQUIÉ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MG,POÇOS DE CALDAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,MAUÉS-AM,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
AL,MACEIÓ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,CABEDELO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PA,CASTANHAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
RN,NATAL,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,TOUROS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,SÃO JOSÉ DO SABUGI,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,NOVA ESPERANÇA DO SUDOESTE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,RIO GRANDE,MUNICIPAL,DIRETOR(A),DOUTORADO,MATRICULADO
CE,QUIXADÁ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,CHAPECÓ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ENSINO SUPERIOR,MATRICULADO
CE,ALTO SANTO,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,DESISTENTE
RJ,VOLTA REDONDA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,BLUMENAU,MUNICIPAL,DIRETOR(A),MESTRADO,MATRICULADO
RJ,RIO DE JANEIRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
SC,SÃO BENTO DO SUL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
TO,GUARAÍ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RS,ROCA SALES,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,PRATA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,CRICIÚMA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RN,PARNAMIRIM,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SC,SÃO JOSÉ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PB,PRATA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
BA,EUNÁPOLIS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AL,SÃO MIGUEL DOS CAMPOS,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
